subject_id,Release,Acquisition,Gender,Age,NEOFAC_A,NEOFAC_O,NEOFAC_C,NEOFAC_N,NEOFAC_E
100307,Q1,Q01,F,26-30,37,24,35,15,37
100408,Q3,Q03,M,31-35,33,29,34,15,33
101915,Q3,Q04,F,31-35,35,30,45,8,31
102816,Q3,Q03,F,26-30,36,27,32,10,31
103414,Q2,Q02,F,22-25,27,30,31,20,34
103515,Q1,Q02,F,26-30,19,27,32,25,25
103818,Q1,Q01,F,31-35,36,26,34,24,16
105115,Q2,Q02,M,31-35,34,28,25,23,26
105216,Q3,Q03,M,26-30,29,30,22,21,18
106016,Q3,Q04,F,31-35,35,24,34,12,27
106319,Q3,Q03,M,26-30,36,39,24,26,23
110411,Q2,Q02,M,31-35,32,26,36,8,38
111009,S900,Q03,F,26-30,40,32,48,13,30
111312,Q1,Q01,F,31-35,33,24,35,17,29
111514,MEG2,Q02,M,31-35,24,34,31,20,25
111716,Q3,Q04,F,31-35,15,44,42,14,34
113215,Q3,Q03,F,26-30,34,36,35,23,36
113619,Q2,Q02,F,31-35,39,26,39,14,33
114924,Q1,Q01,M,26-30,30,22,39,18,36
115320,Q2,Q02,F,31-35,35,22,30,16,31
117122,Q1,Q01,F,26-30,25,27,40,16,11
117324,Q3,Q03,F,22-25,36,26,39,9,25
118730,Q2,Q03,M,22-25,26,17,34,14,25
118932,Q1,Q02,M,26-30,33,34,29,25,21
119833,Q1,Q01,F,26-30,28,27,26,20,37
120111,Q3,Q03,F,26-30,37,26,38,12,38
120212,Q1,Q01,F,31-35,28,31,38,24,25
122317,Q3,Q04,M,31-35,32,24,31,13,31
123117,Q2,Q03,M,26-30,33,27,37,12,27
124422,Q2,Q03,F,31-35,30,26,31,19,23
125525,Q1,Q01,F,31-35,38,15,37,21,38
126325,Q3,Q03,F,26-30,36,30,36,8,36
127933,Q3,Q03,M,31-35,31,35,30,13,37
128632,Q1,Q02,F,31-35,40,28,45,9,34
129028,Q2,Q03,M,26-30,40,30,39,8,28
130013,Q1,Q01,M,26-30,26,25,37,8,37
130316,Q3,Q03,F,26-30,28,28,28,28,19
130922,Q3,Q03,F,31-35,46,27,38,16,29
131924,Q3,Q03,M,22-25,30,30,12,12,12
133625,Q3,Q03,M,26-30,32,36,36,11,34
133827,Q2,Q02,M,22-25,39,30,41,11,26
133928,Q2,Q03,M,26-30,40,26,31,17,29
134324,Q2,Q03,M,26-30,32,34,38,3,39
135932,Q2,Q02,F,26-30,39,26,37,19,26
136833,Q2,Q02,M,31-35,36,28,33,23,26
137128,Q1,Q02,F,31-35,38,23,32,18,28
138231,Q1,Q01,F,31-35,33,28,37,15,33
138534,Q3,Q03,M,22-25,36,23,37,11,40
139637,Q2,Q03,F,31-35,40,20,30,17,33
140824,Q3,Q04,M,31-35,27,36,16,15,26
142828,Q1,Q01,M,31-35,29,24,31,29,35
143325,Q1,Q01,F,31-35,30,25,32,25,15
148032,Q3,Q03,F,31-35,45,40,45,5,35
148335,Q3,Q04,F,31-35,31,35,29,20,33
149337,Q1,Q02,M,31-35,45,22,36,9,30
149539,Q2,Q02,M,22-25,32,42,33,16,27
150524,Q3,Q03,F,26-30,22,16,26,26,20
151223,Q2,Q02,F,26-30,27,18,30,33,28
151526,Q3,Q03,M,26-30,25,32,34,29,30
151627,Q2,Q02,F,26-30,32,26,44,16,33
153025,Q3,Q04,F,22-25,30,27,35,14,36
153429,Q1,Q02,M,31-35,29,31,34,20,26
154431,Q3,Q03,F,26-30,43,31,41,4,37
156233,Q3,Q03,F,22-25,20,32,48,4,38
156637,Q1,Q01,M,31-35,30,31,32,30,17
157336,Q2,Q02,F,31-35,35,38,39,12,34
158035,Q2,Q02,F,26-30,35,29,37,20,27
158540,Q2,Q02,M,31-35,37,18,39,15,35
159239,Q1,Q01,F,31-35,34,26,33,15,28
159340,Q3,Q04,M,26-30,45,40,38,0,40
160123,Q3,Q03,M,31-35,30,30,37,23,29
161731,Q1,Q01,F,31-35,36,34,33,18,34
162329,Q1,Q01,F,26-30,34,34,37,9,45
162733,Q3,Q04,F,26-30,37,29,33,19,31
163129,Q3,Q04,M,26-30,40,31,35,17,40
163432,Q2,Q02,F,31-35,35,31,36,14,33
167743,Q1,Q01,F,26-30,29,36,27,26,25
172332,Q1,Q02,F,26-30,37,28,42,16,31
175439,Q2,Q02,F,31-35,31,19,25,27,33
176542,Q3,Q03,F,26-30,22,19,28,17,20
178950,Q3,Q04,M,31-35,30,27,36,28,18
182739,Q1,Q01,F,26-30,41,26,45,10,28
185139,Q2,Q01,F,31-35,43,19,34,12,32
188347,Q3,Q04,F,26-30,32,23,39,14,32
189450,Q3,Q04,M,22-25,23,27,30,18,31
190031,Q3,Q03,F,26-30,39,40,25,19,35
192439,Q1,Q01,F,31-35,38,23,31,31,36
192540,Q1,Q01,F,26-30,38,22,29,12,32
193239,Q2,Q02,F,26-30,41,19,38,18,34
194140,Q1,Q01,F,26-30,41,29,40,12,30
196144,Q2,Q02,F,31-35,32,22,34,26,25
196750,Q3,Q03,F,26-30,31,28,33,20,20
197550,Q1,Q01,F,26-30,34,25,40,36,22
198451,Q3,Q03,M,26-30,27,34,38,18,23
199150,Q1,Q01,F,26-30,40,20,39,9,34
199655,Q3,Q03,M,31-35,24,29,33,15,28
200614,Q1,Q01,F,31-35,42,22,43,9,38
201111,Q1,Q01,M,26-30,36,35,42,31,23
201414,Q3,Q04,F,22-25,41,37,37,8,38
205119,Q2,Q03,M,31-35,40,30,37,11,33
